Country Name,CO2_emissions,health_spending,GNI,DPT_vax,Measles_vax,HIV_incidence,TB_incidence,life_expectancy,cell_subs,safe_water_pct,safe_sanitation_pct,poverty_rate
Gabon,2.2762362869999997,493.92642209999997,14060.0,75.0,63.0,0.85,529.0,65.839,128.9816609,72.09441406816394,57.94876916857851,3.4
"Gambia, The",0.24391345600000003,82.34416199,2030.0,92.0,90.0,1.62,166.0,61.44,133.9723898,41.63303668,30.8082034,4.530555555555556
Georgia,2.583151735,734.5825195,12920.0,91.0,95.0,0.29,86.0,73.414,137.2607838,65.66411509,35.75669287,5.0
Germany,8.858293698999999,5930.576172,54210.0,93.0,97.0,0.06,6.8,80.99268293,132.7148699,99.98173998,97.03491046,4.530555555555556
Ghana,0.507529429,148.4199066,4860.0,99.0,95.0,1.17,152.0,63.463,126.20162140000002,36.34374531,11.93857292,4.530555555555556
Greece,6.211250006,2273.587891,28490.0,99.0,97.0,0.08,4.7,81.28780488,122.40093859999999,99.99999769,89.39438524,0.9
Greenland,4.140249228967392,1449.1322523124295,20412.66304347826,87.67213114754098,87.0327868852459,0.9936923076923078,116.0,70.62243902,110.3379898,96.74768436,91.42666624,4.530555555555556
Grenada,2.615581651,673.0030517999999,14470.0,96.0,85.0,0.9936923076923078,3.1,72.388,102.07713259999998,87.11526835,57.94876916857851,4.530555555555556
Guam,4.140249228967392,1449.1322523124295,20412.66304347826,87.67213114754098,87.0327868852459,0.9936923076923078,59.0,79.631,107.72459359056994,99.43870743,57.94876916857851,4.530555555555556
Guatemala,1.0262678570000001,474.80758669999994,8150.0,82.0,86.0,0.06,25.0,73.81,118.15854240000002,55.03622869,57.94876916857851,4.530555555555556
Guinea,0.246115273,101.1099167,2410.0,47.0,47.0,0.93,176.0,60.706,96.95447755,72.09441406816394,57.94876916857851,4.530555555555556
Guinea-Bissau,0.164100679,118.7853775,1930.0,88.0,86.0,1.76,361.0,57.673,78.4851311,23.31573379,10.62161617,4.530555555555556
Guyana,2.992706568,467.41693119999996,11980.0,97.0,99.0,0.79,84.0,69.624,82.97107151,72.09441406816394,57.94876916857851,4.530555555555556
Haiti,0.306855526,147.0072784,2990.0,64.0,69.0,0.88,181.0,63.29,57.41806456,72.09441406816394,57.94876916857851,4.530555555555556
Honduras,0.954500448,344.2052612,5220.0,89.0,96.0,0.12,37.0,74.898,87.32089987,72.09441406816394,48.5590408,15.4
"Hong Kong SAR, China",4.140249228967392,1449.1322523124295,62450.0,87.67213114754098,87.0327868852459,0.9936923076923078,68.0,84.68048780000001,251.7650057,100.0,85.95482746,4.530555555555556
Hungary,4.755839977,2003.7476809999998,28310.0,99.0,99.0,0.9936923076923078,7.7,75.81707317,102.2119005,92.54461744,86.90456800000001,0.6
Iceland,6.319161328,4739.734375,53920.0,89.0,92.0,0.08,4.5,82.66097561,119.9878586,99.99999601,78.81124984,0.0
India,1.7191902,253.4210205,6120.0,89.0,90.0,0.9936923076923078,204.0,69.165,87.31773719,72.09441406816394,39.88551213,4.530555555555556
Indonesia,2.01367107,352.1897583,10590.0,85.0,90.0,0.21,319.0,71.282,164.44059,72.09441406816394,57.94876916857851,4.5
"Iran, Islamic Rep.",7.694930979,1758.991455,14560.0,99.0,99.0,0.05,14.0,76.271,107.8997933,93.54765027,57.94876916857851,0.4
Iraq,4.641199885,722.6640014999999,10640.0,85.0,85.0,0.9936923076923078,42.0,70.294,88.98326332,58.39519541,42.36033706,4.530555555555556
Ireland,7.806734135,5616.831543,62640.0,95.0,92.0,0.15,7.3,82.15609756,103.0630014,97.20488918,82.45330285,0.2
Israel,7.579217977000001,3087.963379,38920.0,98.0,98.0,0.9936923076923078,3.3,82.55121951,127.85291529999999,99.44468698,92.69180272,4.530555555555556
Italy,5.437857548999999,3572.10083,41810.0,95.0,92.0,0.13,7.3,82.94634146,138.2337679,95.82368779,95.76461446,1.4
Jamaica,2.461613887,552.1261597,9330.0,93.0,95.0,0.97,5.2,74.267,105.8330321,72.09441406816394,57.94876916857851,4.530555555555556
Japan,9.085639143,4386.461426,42430.0,99.0,97.0,0.01,15.0,84.0997561,135.5186644,98.47042419,80.23911509,4.530555555555556
Jordan,2.667119021,749.821167,9950.0,99.0,93.0,0.01,6.7,74.292,99.15637314,79.20967263,81.68932227,4.530555555555556
Kazakhstan,12.50486756,806.7290039,22160.0,99.0,99.0,0.3,69.0,72.95,147.6397785,89.30041861,57.94876916857851,0.0
Kenya,0.37613637899999997,157.5978394,3970.0,82.0,89.0,1.48,319.0,65.90899999999999,85.25315693,72.09441406816394,57.94876916857851,4.530555555555556
